age,education,marital-status,relationship,race,gender,hours-per-week,income
25,11th,Never-married,Own-child,Black,Male,40,<=50K
38,HS-grad,Married-civ-spouse,Husband,White,Male,50,<=50K
28,Assoc-acdm,Married-civ-spouse,Husband,White,Male,40,>50K
44,Some-college,Married-civ-spouse,Husband,Black,Male,40,>50K
18,Some-college,Never-married,Own-child,White,Female,30,<=50K
34,10th,Never-married,Not-in-family,White,Male,30,<=50K
29,HS-grad,Never-married,Unmarried,Black,Male,40,<=50K
63,Preschool,Married-civ-spouse,Husband,White,Male,32,>50K
24,Some-college,Never-married,Unmarried,White,Female,40,<=50K
55,7th-8th,Married-civ-spouse,Husband,White,Male,10,<=50K
65,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
36,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
26,HS-grad,Never-married,Not-in-family,White,Female,39,<=50K
58,HS-grad,Married-civ-spouse,Husband,White,Male,35,<=50K
48,HS-grad,Married-civ-spouse,Husband,White,Male,48,>50K
43,Masters,Married-civ-spouse,Husband,White,Male,50,>50K
20,Some-college,Never-married,Own-child,White,Male,25,<=50K
43,HS-grad,Married-civ-spouse,Wife,White,Female,30,<=50K
37,HS-grad,Widowed,Unmarried,White,Female,20,<=50K
40,Doctorate,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,45,>50K
34,Bachelors,Married-civ-spouse,Husband,White,Male,47,>50K
34,Some-college,Never-married,Own-child,Black,Female,35,<=50K
72,7th-8th,Divorced,Not-in-family,White,Female,6,<=50K
25,Bachelors,Never-married,Not-in-family,White,Male,43,<=50K
25,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
45,HS-grad,Married-civ-spouse,Husband,White,Male,90,>50K
22,HS-grad,Never-married,Own-child,White,Male,20,<=50K
23,HS-grad,Separated,Unmarried,Black,Male,54,<=50K
54,HS-grad,Married-civ-spouse,Husband,White,Male,35,<=50K
32,Some-college,Never-married,Not-in-family,White,Male,60,<=50K
46,Some-college,Married-civ-spouse,Husband,Black,Male,38,>50K
56,11th,Widowed,Unmarried,White,Female,50,<=50K
24,Bachelors,Never-married,Not-in-family,White,Male,50,<=50K
23,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
26,HS-grad,Divorced,Unmarried,White,Female,40,<=50K
65,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
36,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
22,5th-6th,Never-married,Not-in-family,White,Male,50,<=50K
17,10th,Never-married,Not-in-family,White,Male,40,<=50K
20,HS-grad,Never-married,Own-child,White,Male,40,<=50K
65,Masters,Married-civ-spouse,Husband,White,Male,50,>50K
44,Assoc-voc,Married-civ-spouse,Husband,White,Male,45,>50K
36,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
29,11th,Married-civ-spouse,Husband,White,Male,40,<=50K
20,Some-college,Never-married,Own-child,White,Male,32,<=50K
28,Assoc-voc,Married-civ-spouse,Wife,White,Female,36,>50K
39,7th-8th,Married-civ-spouse,Husband,White,Male,40,<=50K
54,Some-college,Married-civ-spouse,Husband,White,Male,50,<=50K
52,11th,Separated,Not-in-family,Black,Female,18,<=50K
56,HS-grad,Widowed,Not-in-family,White,Female,50,<=50K
18,Some-college,Never-married,Own-child,White,Male,20,<=50K
39,HS-grad,Divorced,Own-child,Black,Male,40,<=50K
21,Some-college,Never-married,Own-child,White,Female,24,<=50K
22,HS-grad,Never-married,Not-in-family,White,Male,60,>50K
38,9th,Married-spouse-absent,Not-in-family,White,Male,54,<=50K
21,Some-college,Never-married,Own-child,White,Female,40,<=50K
63,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
34,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
42,HS-grad,Married-civ-spouse,Husband,White,Male,50,>50K
33,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
30,Bachelors,Never-married,Not-in-family,White,Female,50,<=50K
39,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
26,Masters,Never-married,Not-in-family,White,Female,40,<=50K
33,HS-grad,Never-married,Own-child,White,Female,40,<=50K
47,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
41,Bachelors,Never-married,Not-in-family,White,Female,40,<=50K
41,Assoc-acdm,Married-civ-spouse,Husband,White,Male,60,>50K
19,Some-college,Never-married,Own-child,White,Male,20,<=50K
46,HS-grad,Separated,Not-in-family,White,Male,40,<=50K
43,HS-grad,Married-civ-spouse,Husband,White,Male,48,<=50K
55,Some-college,Married-civ-spouse,Husband,White,Male,45,>50K
46,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,<=50K
30,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
21,Some-college,Separated,Not-in-family,White,Female,40,<=50K
46,Some-college,Married-civ-spouse,Husband,Other,Male,40,<=50K
17,10th,Never-married,Own-child,White,Male,40,<=50K
41,HS-grad,Married-civ-spouse,Husband,White,Male,50,<=50K
69,HS-grad,Married-civ-spouse,Husband,White,Male,30,<=50K
50,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
20,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
45,Some-college,Married-civ-spouse,Husband,White,Male,50,<=50K
23,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
24,Some-college,Separated,Not-in-family,White,Male,40,<=50K
44,HS-grad,Married-civ-spouse,Husband,White,Male,50,>50K
31,Some-college,Married-civ-spouse,Husband,White,Male,50,<=50K
43,HS-grad,Separated,Not-in-family,White,Female,44,<=50K
20,11th,Never-married,Own-child,White,Female,10,<=50K
55,HS-grad,Married-civ-spouse,Husband,White,Male,56,>50K
24,Some-college,Never-married,Not-in-family,White,Male,40,<=50K
41,Masters,Married-civ-spouse,Wife,White,Female,10,>50K
59,Bachelors,Never-married,Not-in-family,White,Female,25,<=50K
49,7th-8th,Never-married,Not-in-family,Black,Male,20,<=50K
33,Masters,Married-civ-spouse,Wife,White,Female,10,>50K
59,Bachelors,Divorced,Not-in-family,White,Male,40,<=50K
34,Masters,Never-married,Not-in-family,Amer-Indian-Eskimo,Male,40,<=50K
20,HS-grad,Never-married,Own-child,White,Male,40,<=50K
25,Bachelors,Never-married,Own-child,White,Female,40,<=50K
49,10th,Married-civ-spouse,Husband,White,Male,40,<=50K
59,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
20,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
51,Some-college,Married-civ-spouse,Wife,White,Female,18,<=50K
33,Some-college,Never-married,Unmarried,Black,Female,35,<=50K
22,Some-college,Never-married,Own-child,Black,Male,39,<=50K
58,9th,Widowed,Not-in-family,White,Female,40,<=50K
52,HS-grad,Widowed,Unmarried,White,Female,28,<=50K
36,10th,Separated,Not-in-family,White,Female,40,<=50K
41,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
28,HS-grad,Never-married,Own-child,White,Male,40,<=50K
19,Some-college,Never-married,Own-child,Black,Male,16,<=50K
18,HS-grad,Never-married,Not-in-family,White,Female,28,<=50K
18,HS-grad,Never-married,Own-child,White,Female,48,<=50K
28,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
29,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,>50K
20,HS-grad,Never-married,Own-child,White,Female,20,<=50K
40,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
26,HS-grad,Never-married,Unmarried,White,Male,40,<=50K
46,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
